Day,Case#,Arrival,Start,End,Service,Inter-Arrival,TurnAround,WaitTime,ResponseTime
2,51,9.05,9.05,9.15,6,0,6,0,0
2,52,9.13,9.18,9.32,8,5,11,3,3
2,53,9.25,9.3,9.47,10,7,13,3,3
2,54,9.33,9.33,9.58,15,5,15,0,0
2,55,9.42,9.55,9.68,8,5,16,8,8
2,56,9.45,9.5,9.63,8,2,11,3,3
2,57,9.5,9.5,9.67,10,3,10,0,0
2,58,9.58,9.6,9.8,12,5,13,1,1
2,59,9.67,9.67,9.77,6,5,6,0,0
2,60,9.68,9.72,9.88,10,1,12,2,2
2,61,9.75,9.78,9.98,12,4,14,2,2
2,62,9.83,9.9,10.07,10,5,14,4,4
2,63,10,10,10.13,8,10,8,0,0
2,64,10.02,10.03,10.2,10,1,11,1,1
2,65,10.02,10.2,10.33,8,0,19,11,11
2,66,10.25,10.25,10.42,10,14,10,0,0
2,67,10.27,10.27,10.43,10,1,10,0,0
2,68,10.27,10.27,10.37,6,0,6,0,0
2,69,10.33,10.37,10.43,4,4,6,2,2
2,70,10.35,10.43,10.57,8,1,13,5,5
2,71,10.42,10.42,10.52,6,4,6,0,0
2,72,10.42,10.43,10.55,7,0,8,1,1
2,73,10.45,10.55,10.7,9,2,15,6,6
2,74,10.63,10.63,10.75,7,11,7,0,0
2,75,10.75,10.75,10.85,6,7,6,0,0
2,76,10.83,10.83,10.98,9,5,9,0,0
2,77,10.85,10.85,10.97,7,1,7,0,0
2,78,10.98,11,11.13,8,8,9,1,1
2,79,11.08,11.08,11.22,8,6,8,0,0
2,80,11.08,11.08,11.22,8,0,8,0,0
2,81,11.1,11.1,11.3,12,1,12,0,0
2,82,11.25,11.3,11.47,11,9,13,3,3
2,83,11.32,11.33,11.45,7,4,8,1,1
2,84,11.38,11.38,11.5,7,4,7,0,0
2,85,11.45,11.5,11.6,6,4,9,3,3
2,86,11.5,11.5,11.62,7,3,7,0,0
2,87,11.75,11.75,11.88,8,15,8,0,0
2,88,12,12,12.17,10,15,10,0,0
2,89,12.37,12.37,12.52,9,22,9,0,0
2,90,12.75,12.75,12.92,10,23,10,0,0
2,91,12.92,12.92,13.13,13,10,13,0,0
2,92,13.07,13.07,13.22,9,9,9,0,0
2,93,13.28,13.28,13.42,8,13,8,0,0
2,94,14.25,14.25,14.4,9,58,9,0,0
2,95,14.63,14.63,14.75,7,23,7,0,0
2,96,15.02,15.02,15.2,11,23,11,0,0
2,97,15.2,15.2,15.38,11,11,11,0,0
2,98,15.33,15.33,15.47,8,8,8,0,0
2,99,15.65,15.65,15.78,8,19,8,0,0
2,100,16.08,16.08,16.25,10,26,10,0,0
