Day,Case#,Arrival,Start,End,Service,Inter-Arrival,TurnAround,WaitTime,ResponseTime
1,1,9.08,9.12,9.18,4,0,6,2,2
1,2,9.08,9.17,9.3,8,0,13,5,5
1,3,9.13,9.13,9.33,12,3,12,0,0
1,4,9.17,9.42,9.63,13,2,28,15,15
1,5,9.37,9.45,9.55,6,12,11,5,5
1,6,9.53,9.63,9.9,16,10,22,6,6
1,7,9.98,10.02,10.1,5,27,7,2,2
1,8,10.03,10.1,10.38,17,3,21,4,4
1,9,10.08,10.17,10.25,5,3,10,5,5
1,10,10.2,10.2,10.42,13,7,13,0,0
1,11,10.4,10.58,10.75,10,12,21,11,11
1,12,10.42,10.55,10.63,5,1,13,8,8
1,13,10.52,10.75,11,15,6,29,14,14
1,14,10.58,10.63,10.93,18,4,21,3,3
1,15,10.97,11.25,11.42,10,23,27,17,17
1,16,11.03,11.1,11.33,14,4,18,4,4
1,17,11.25,11.38,11.7,19,13,27,8,8
1,18,11.58,11.78,11.97,11,20,23,12,12
1,19,11.58,11.62,11.65,2,0,4,2,2
1,20,11.63,11.63,11.8,10,3,10,0,0
1,21,11.65,11.97,12.23,16,1,35,19,19
1,22,11.8,11.92,12.08,10,9,17,7,7
1,23,11.98,12.13,12.25,7,11,16,9,9
1,24,12.1,12.23,12.28,3,7,11,8,8
1,25,12.3,12.4,12.58,11,12,17,6,6
1,26,12.4,12.53,12.75,13,6,21,8,8
1,27,12.58,12.67,12.9,14,11,19,5,5
1,28,12.63,12.75,13.08,20,3,27,7,7
1,29,12.63,12.63,12.85,13,0,13,0,0
1,30,12.75,12.9,13.12,13,7,22,9,9
1,31,13,13.15,13.2,3,15,12,9,9
1,32,13.08,13.28,13.38,6,5,18,12,12
1,33,13.1,13.38,13.48,6,1,23,17,17
1,34,13.2,13.37,13.65,17,6,27,10,10
1,35,13.43,13.52,13.75,14,14,19,5,5
1,36,13.58,13.72,13.98,16,9,24,8,8
1,37,13.65,13.98,14.23,15,4,35,20,20
1,38,13.67,13.75,14,15,1,20,5,5
1,39,13.93,14.07,14.25,11,16,19,8,8
1,40,13.98,14.23,14.47,14,3,29,15,15
1,41,14.08,14.28,14.32,2,6,14,12,12
1,42,14.13,14.47,14.55,5,3,25,20,20
1,43,14.27,14.43,14.6,10,8,20,10,10
1,44,14.3,14.6,14.77,10,2,28,18,18
1,45,14.37,14.42,14.48,4,4,7,3,3
1,46,14.47,14.55,14.85,18,6,23,5,5
1,47,14.6,14.77,14.97,12,8,22,10,10
1,48,14.75,14.78,15.05,16,9,18,2,2
1,49,15,15.08,15.4,19,15,24,5,5
1,50,15.15,15.32,15.52,12,9,22,10,10
